,CD_GEOCODM,NM_AGSN,CodAGSN,Estimated_Population,DPO_EmAGSN,Pop_EmAGSN,AbsoluteDifference,ProportionalDifference
257,3515004,NOVA REPÚBLICA,35150040059.0,,197,687,,
258,3515004,AUGUSTO DE ALMEIDA BATISTA,35150040064.0,,56,220,,
259,3515004,POMBAS,35150040020.0,,57,214,,
260,3515004,GUAIRACÁ,35150040058.0,,75,269,,
261,3515707,JARDIM GENTILE,35157070001.0,,648,2416,,
262,3515707,SEM DENOMINAÇÃO DA VILA BIANCHI,35157070002.0,,201,694,,
263,3515707,VILA TANQUINHO,35157070003.0,,175,639,,
264,3515707,VILA T.V.,35157070004.0,,203,769,,
265,3515707,SEM DENOMINAÇÃO DO JARDIM ANCHIETA,35157070005.0,,64,246,,
266,3515707,SEM DENOMINAÇÃO DO JARDIM LEILA,35157070006.0,,202,747,,
267,3515707,SEM DENOMINAÇÃO DO JARDIM HELENA,35157070007.0,,75,299,,
268,3515707,SEM DENOMINAÇÃO DO PARQUE SÃO JUDAS TADEU,35157070008.0,,238,898,,
269,3515707,SEM DENOMINAÇÃO DO JARDIM SÃO BENEDITO,35157070009.0,,312,1229,,
270,3515707,SEM DENOMINAÇÃO DO JARDIM SARA,35157070010.0,,64,217,,
271,3515707,SEM DENOMINAÇÃO DO JARDIM DAYSE,35157070011.0,,93,342,,
272,3515707,SEM DENOMINAÇÃO DA VILA LOANDA,35157070012.0,,334,1210,,
273,3515707,SEM DENOMINAÇÃO DO JARDIM SÃO JOSÉ,35157070013.0,,169,660,,
274,3515707,SEM DENOMINAÇÃO DO JARDIM SOEIRO,35157070014.0,,73,275,,
275,3515707,SEM DENOMINAÇÃO DO JARDIM SÃO FERNANDO,35157070015.0,,78,307,,
276,3515707,SEM DENOMINAÇÃO DO JARDIM SÃO LÁZARO,35157070016.0,,34,108,,
277,3515707,SEM DENOMINAÇÃO DO JARDIM VERÃO,35157070017.0,,139,574,,
278,3516309,RUA NILO PEÇANHA,35163090001.0,,64,214,,
279,3516309,RUA DAS TULIPAS,35163090002.0,,80,299,,
280,3516309,RUA JOSÉ MARIO CURTY,35163090003.0,,68,241,,
281,3516309,RUA DAS LARANJEIRAS,35163090005.0,,39,155,,
282,3516309,RUA ROQUE MODESTO DOS SANTOS,35163090007.0,,74,269,,
283,3516309,OURO PRETO,35163090008.0,1430.0,452,1626,-196.0,-0.12054120541205413
284,3516309,RUA JULIO GOMES DE MELO,35163090014.0,,79,295,,
285,3516309,RUA QUINZE,35163090015.0,,109,380,,
286,3516309,RUA DEZESSEIS,35163090016.0,,89,349,,
287,3516309,RUA DAS MARGARIDAS,35163090017.0,,156,543,,
288,3516309,RUA DAS ORQUÍDEAS,35163090018.0,,131,433,,
289,3516309,RUA MORATÃO,35163090019.0,,56,191,,
