"","CD_AGSN","DPO_EmAGSN","PopEmDPO_EmAGSN"
"4934","35503080792","107","406"
"4935","35503080794","247","926"
"4936","35503080795","234","843"
"4937","35503080796","433","1686"
"4938","35503080797","86","354"
"4939","35503080798","235","881"
"4940","35503080799","942","3541"
"4941","35503080800","161","638"
"4942","35503080801","1719","6326"
"4943","35503080802","293","988"
"4944","35503080803","120","422"
"4945","35503080804","157","623"
"4946","35503080805","100","359"
"4947","35503080806","96","382"
"4948","35503080807","95","381"
"4949","35503080808","225","822"
"4950","35503080809","779","2675"
"4951","35503080810","776","2991"
"4952","35503080811","176","598"
"4953","35503080812","209","724"
"4954","35503080813","650","2416"
"4955","35503080814","996","3744"
"4956","35503080815","675","2454"
"4957","35503080816","175","638"
"4958","35503080817","2575","9168"
"4959","35503080819","317","1083"
"4960","35503080820","81","314"
"4961","35503080821","500","1751"
"4962","35503080824","53","165"
"4963","35503080825","115","396"
"4964","35503080828","4680","17880"
"4965","35503080829","8","24"
"4966","35503080830","237","929"
"4967","35503080831","57","205"
"4968","35503080832","190","680"
"4969","35503080833","109","359"
"4970","35503080837","89","337"
"4971","35503080841","203","758"
"4972","35503080842","149","555"
"4973","35503080843","272","956"
"4974","35503080844","220","773"
"4975","35503080845","532","1656"
"4976","35503080846","68","273"
"4977","35503080847","152","557"
"4978","35503080848","177","676"
"4979","35503080850","85","310"
"4980","35503080851","230","856"
"4981","35503080852","120","417"
"4982","35503080853","104","372"
"4983","35503080854","191","695"
"4984","35503080855","304","1118"
"4985","35503080856","109","368"
"4986","35503080857","194","686"
"4987","35503080858","82","306"
"4988","35503080859","156","541"
"4989","35503080860","304","992"
"4990","35503080861","450","1518"
"4991","35503080862","105","364"
"4992","35503080863","219","840"
"4993","35503080864","81","319"
"4994","35503080865","161","557"
"4995","35503080866","154","665"
"4996","35503080867","70","267"
"4997","35503080869","71","211"
"4998","35503080870","79","285"
"4999","35503080871","72","242"
"5000","35503080875","137","448"
"5001","35503080876","25","93"
"5002","35503080877","121","436"
"5003","35503080878","156","496"
"5004","35503080879","81","284"
"5005","35503080880","124","458"
"5006","35503080881","156","566"
"5007","35503080882","619","2242"
"5008","35503080883","52","175"
"5009","35503080885","501","1820"
"5010","35503080887","59","216"
"5011","35503080888","261","912"
"5012","35503080889","108","409"
"5013","35503080891","71","271"
"5014","35503080892","218","782"
"5015","35503080893","315","1066"
"5016","35503080894","162","568"
"5017","35503080895","179","656"
"5018","35503080896","136","464"
"5019","35503080897","176","665"
"5020","35503080898","97","358"
"5021","35503080899","40","165"
"5022","35503080900","139","468"
"5023","35503080901","87","311"
"5024","35503080902","196","683"
"5025","35503080904","425","1426"
"5026","35503080905","171","585"
"5027","35503080907","658","2329"
"5028","35503080908","258","867"
"5029","35503080909","262","926"
"5030","35503080910","232","790"
"5031","35503080911","256","958"
"5032","35503080912","434","1455"
"5033","35503080913","173","667"
"5034","35503080914","207","711"
"5035","35503080915","315","1182"
"5036","35503080916","398","1424"
"5037","35503080917","305","1049"
"5038","35503080918","213","719"
"5039","35503080919","26","91"
"5040","35503080920","385","1418"
"5041","35503080921","485","1716"
"5042","35503080922","150","556"
"5043","35503080923","177","574"
"5044","35503080924","96","359"
"5045","35503080925","573","1971"
"5046","35503080926","159","569"
"5047","35503080927","124","425"
"5048","35503080928","144","575"
"5049","35503080929","91","359"
"5050","35503080930","163","604"
"5051","35503080931","59","222"
"5052","35503080932","92","298"
"5053","35503080934","118","429"
"5054","35503080936","133","512"
"5055","35503080937","208","734"
"5056","35503080938","309","1190"
"5057","35503080939","219","929"
"5058","35503080940","725","2641"
"5059","35503080941","200","773"
"5060","35503080942","109","394"
"5061","35503080943","293","1097"
"5062","35503080944","333","1092"
"5063","35503080946","86","330"
"5064","35503080947","35","123"
"5065","35503080948","195","689"
"5066","35503080949","236","830"
"5067","35503080950","476","2345"
"5068","35503080951","141","512"
"5069","35503080952","442","1612"
"5070","35503080953","298","1092"
"5071","35503080954","144","524"
"5072","35503080955","132","502"
"5073","35503080956","76","285"
"5074","35503080957","221","738"
"5075","35503080959","49","178"
"5076","35503080961","87","339"
"5077","35503080962","123","464"
"5078","35503080963","47","174"
"5079","35503080964","359","1320"
"5080","35503080965","150","545"
"5081","35503080966","125","477"
"5082","35503080968","333","1240"
"5083","35503080969","72","278"
"5084","35503080971","68","242"
"5085","35503080972","321","1231"
"5086","35503080973","965","3456"
"5087","35503080974","159","599"
"5088","35503080975","41","151"
"5089","35503080976","106","374"
"5090","35503080977","209","791"
"5091","35503080979","692","2377"
"5092","35503080980","157","562"
"5093","35503080981","218","831"
"5094","35503080982","108","381"
"5095","35503080983","86","324"
"5096","35503080985","146","547"
"5097","35503080986","40","153"
"5098","35503080987","41","143"
"5099","35503080988","1091","3902"
"5100","35503080989","195","760"
"5101","35503080990","87","282"
"5102","35503080991","134","488"
"5103","35503080992","74","266"
"5104","35503080993","54","200"
"5105","35503080994","63","227"
"5106","35503080995","121","458"
"5107","35503080996","557","2024"
"5108","35503080997","76","270"
"5109","35503080998","83","302"
"5110","35503080999","552","1947"
"5111","35503081000","282","1078"
"5112","35503081002","240","889"
"5113","35503081003","114","426"
"5114","35503081004","42","175"
"5115","35503081005","51","227"
"5116","35503081006","103","359"
"5117","35503081007","64","241"
"5118","35503081008","148","594"
"5119","35503081009","64","226"
"5120","35503081010","45","157"
"5121","35503081011","69","233"
"5122","35503081014","83","268"
"5123","35503081015","60","224"
"5124","35503081016","241","894"
"5125","35503081017","59","234"
"5126","35503081018","107","384"
"5127","35503081019","91","293"
"5128","35503081020","390","1393"
"5129","35503081022","395","1303"
"5130","35503081023","80","299"
"5131","35503081024","96","297"
"5132","35503081025","140","475"
"5133","35503081027","51","194"
"5134","35503081028","110","383"
"5135","35503081029","109","420"
"5136","35503081030","55","199"
"5137","35503081031","85","287"
"5138","35503081032","193","631"
"5139","35503081035","184","634"
"5140","35503081036","139","458"
"5141","35503081038","66","193"
"5142","35503081039","49","185"
"5143","35503081041","142","521"
"5144","35503081042","609","2282"
"5145","35503081045","352","1360"
"5146","35503081046","279","1246"
"5147","35503081048","244","863"
"5148","35503081049","109","377"
"5149","35503081050","110","404"
"5150","35503081051","291","1014"
"5151","35503081052","80","317"
"5152","35503081053","68","236"
"5153","35503081054","145","528"
"5154","35503081056","119","366"
"5155","35503081057","105","424"
"5156","35503081058","64","232"
"5157","35503081059","146","541"
"5158","35503081060","59","213"
"5159","35503081062","154","520"
"5160","35503081063","122","454"
"5161","35503081064","522","1788"
"5162","35503081065","600","2209"
"5163","35503081066","115","431"
"5164","35503081067","84","279"
"5165","35503081068","145","515"
"5166","35503081070","5","19"
"5167","35503081071","60","215"
"5168","35503081072","201","817"
"5169","35503081073","81","300"
"5170","35503081074","50","167"
"5171","35503081075","493","1754"
"5172","35503081076","131","580"
"5173","35503081077","228","828"
"5174","35503081078","69","220"
"5175","35503081079","156","553"
"5176","35503081080","429","1729"
"5177","35503081081","65","242"
"5178","35503081082","433","1576"
"5179","35503081083","175","727"
"5180","35503081084","257","981"
"5181","35503081085","207","748"
"5182","35503081086","97","357"
"5183","35503081087","116","485"
"5184","35503081088","298","1035"
"5185","35503081089","40","155"
"5186","35503081090","210","792"
"5187","35503081092","142","570"
"5188","35503081093","2578","9461"
"5189","35503081094","21","77"
"5190","35503081095","66","270"
"5191","35503081097","42","158"
"5192","35503081100","125","429"
"5193","35503081101","107","338"
"5194","35503081102","97","339"
"5195","35503081103","138","499"
"5196","35503081104","75","250"
